id,product_external_id,sku,size,color,stock,price,image_url
20000000-0000-4000-8000-000000000001,SM-001,SM-001-M,M,Oat,8,420,https://lh3.googleusercontent.com/aida-public/AB6AXuBRTlahnsv0f7ya3xU5YTERBeygNv3B_6MEExHsUzTI3uGv3gn9RVVaVkXFHJAQIYeO-NnQ-n51wqkjA-oml_uoLI96mxp1piJxtPHA5ofpE_9tSdHTMa8lNfjCgdbUOSRi__Y4J8VFSz5HhI5ZB9C5Vl5zl-6FxNxhAYwEDNV_XOP2dGsj5rTUtGDd1a59qGSue1hdS28wAOq4_SpG152HGpLir9kJsPtGA9trmPt5raubxkNMY1AI1cI7Qs5-pnKuSFT_JrLZrEaz
20000000-0000-4000-8000-000000000002,SM-001,SM-001-L,L,Oat,7,420,https://lh3.googleusercontent.com/aida-public/AB6AXuBRTlahnsv0f7ya3xU5YTERBeygNv3B_6MEExHsUzTI3uGv3gn9RVVaVkXFHJAQIYeO-NnQ-n51wqkjA-oml_uoLI96mxp1piJxtPHA5ofpE_9tSdHTMa8lNfjCgdbUOSRi__Y4J8VFSz5HhI5ZB9C5Vl5zl-6FxNxhAYwEDNV_XOP2dGsj5rTUtGDd1a59qGSue1hdS28wAOq4_SpG152HGpLir9kJsPtGA9trmPt5raubxkNMY1AI1cI7Qs5-pnKuSFT_JrLZrEaz
20000000-0000-4000-8000-000000000003,SM-002,SM-002-M,M,Charcoal,5,1250,https://lh3.googleusercontent.com/aida-public/AB6AXuA004mNLReNQb9OI2U6JwpX4idr5HiAL2OAqj-X2r60qRDaMIYLE7YAWWdvJ6_uvkh1jgDweWN2QRC0Z6CnAXNS54x6M_Qkf8uPtTr4G6Cl5-Y5z8iuGvbIv1u_DCawCRbkf01JSFMi_iZ2APFb_m56yIPq8-_Ap7HY-QbhgAL2tc-tsE4VsnyibszwQjgYBz28AGgGUIIQ7EDmY1bXGdkXyNQI991VG2ouIlVK-wOCqK_Lq8GNj4h27eldl1LjnR6Wt903BlKnHCVn
20000000-0000-4000-8000-000000000004,SM-002,SM-002-L,L,Charcoal,4,1250,https://lh3.googleusercontent.com/aida-public/AB6AXuA004mNLReNQb9OI2U6JwpX4idr5HiAL2OAqj-X2r60qRDaMIYLE7YAWWdvJ6_uvkh1jgDweWN2QRC0Z6CnAXNS54x6M_Qkf8uPtTr4G6Cl5-Y5z8iuGvbIv1u_DCawCRbkf01JSFMi_iZ2APFb_m56yIPq8-_Ap7HY-QbhgAL2tc-tsE4VsnyibszwQjgYBz28AGgGUIIQ7EDmY1bXGdkXyNQI991VG2ouIlVK-wOCqK_Lq8GNj4h27eldl1LjnR6Wt903BlKnHCVn
20000000-0000-4000-8000-000000000005,SM-003,SM-003-M,M,Olive,8,380,https://lh3.googleusercontent.com/aida-public/AB6AXuBXRSWOWcHtCNyaMDYLCJzvRD_aYObkVBkIHPoz_HZOOuihWxPKo82MAX7anUmfBqHwOgx_6YthGokOn-aqEtAkMya3di9RNTlqqA2-zqT6x85Yh0CGWy5_gOTjOOMYxnRJ7B8A9ihZaMR-PzIAILb7T5rSMUCiZ-3CZRTX_u3XxJpOlXlYjWEZj4aFLaV_mamuWkKjkhTxSRpw7LyICx9lPITcKUuGOxJ0NkpKweDI4rMjqFkSSGZJssErigmmpbKq5Z6kLPVUehXg
20000000-0000-4000-8000-000000000006,SM-003,SM-003-L,L,Olive,8,380,https://lh3.googleusercontent.com/aida-public/AB6AXuBXRSWOWcHtCNyaMDYLCJzvRD_aYObkVBkIHPoz_HZOOuihWxPKo82MAX7anUmfBqHwOgx_6YthGokOn-aqEtAkMya3di9RNTlqqA2-zqT6x85Yh0CGWy5_gOTjOOMYxnRJ7B8A9ihZaMR-PzIAILb7T5rSMUCiZ-3CZRTX_u3XxJpOlXlYjWEZj4aFLaV_mamuWkKjkhTxSRpw7LyICx9lPITcKUuGOxJ0NkpKweDI4rMjqFkSSGZJssErigmmpbKq5Z6kLPVUehXg
20000000-0000-4000-8000-000000000007,SM-004,SM-004-M,M,Forest,9,290,https://lh3.googleusercontent.com/aida-public/AB6AXuDBowt2AR0QGkZ_teHLK0qG2iUl8fGSUuNTrZHreU_s95xtmrbnCTB8LYOShnHaraaNDqoUnziBnVe2Rh6OAlJpU9ZSpF84L0-k23aokXc6aJdWswRdyGowycFswnENPgO9tfnUyUaMa2VjW8lGJYkmhPbnJhSE0zC0BdoSTdae8pmGnQwaAXzVlJJRhWYysiO1yf2n_lREj8nVxarkGub1OLnfLI4QrhAiAGV-AZTWnZg1MCqdpNi1pBSjb6RIPFAzXw0h_iTQCqrp
20000000-0000-4000-8000-000000000008,SM-004,SM-004-L,L,Forest,9,290,https://lh3.googleusercontent.com/aida-public/AB6AXuDBowt2AR0QGkZ_teHLK0qG2iUl8fGSUuNTrZHreU_s95xtmrbnCTB8LYOShnHaraaNDqoUnziBnVe2Rh6OAlJpU9ZSpF84L0-k23aokXc6aJdWswRdyGowycFswnENPgO9tfnUyUaMa2VjW8lGJYkmhPbnJhSE0zC0BdoSTdae8pmGnQwaAXzVlJJRhWYysiO1yf2n_lREj8nVxarkGub1OLnfLI4QrhAiAGV-AZTWnZg1MCqdpNi1pBSjb6RIPFAzXw0h_iTQCqrp
20000000-0000-4000-8000-000000000009,SM-005,SM-005-L,L,Black,3,1890,https://lh3.googleusercontent.com/aida-public/AB6AXuDb4HgZThk-i_juM7LnHT28IvYp6L3O-BYlcwDKgfj8NoIfTFFhOF2Ole0eBVsqpYg3jj_0TeLOFVAlmWeCOqcLhMrp0WOXtTgYUke-t7sj7lC-e4jEl3lE8aZs01lCVJenptBJf3Fh0f1sdTVQ9W0cWZD8hEtVjX-LK-Bsqoc2UzdzkTUWeVjp7hrhjMGZhuTtvQ56nTXVelw9_F3p1d8ryVxqAzayeUimjbfSI8FHukDr7r45A4VjAJ3lpymfXulGrEM83TxdK6Sj
20000000-0000-4000-8000-000000000010,SM-005,SM-005-XL,XL,Black,3,1890,https://lh3.googleusercontent.com/aida-public/AB6AXuDb4HgZThk-i_juM7LnHT28IvYp6L3O-BYlcwDKgfj8NoIfTFFhOF2Ole0eBVsqpYg3jj_0TeLOFVAlmWeCOqcLhMrp0WOXtTgYUke-t7sj7lC-e4jEl3lE8aZs01lCVJenptBJf3Fh0f1sdTVQ9W0cWZD8hEtVjX-LK-Bsqoc2UzdzkTUWeVjp7hrhjMGZhuTtvQ56nTXVelw9_F3p1d8ryVxqAzayeUimjbfSI8FHukDr7r45A4VjAJ3lpymfXulGrEM83TxdK6Sj
