id,product_external_id,category_slug,position
40000000-0000-4000-8000-000000000001,SM-001,shop-men,1
40000000-0000-4000-8000-000000000002,SM-002,shop-men,2
40000000-0000-4000-8000-000000000003,SM-003,shop-men,3
40000000-0000-4000-8000-000000000004,SM-004,shop-men,4
40000000-0000-4000-8000-000000000005,SM-005,shop-men,5
40000000-0000-4000-8000-000000000006,SM-006,shop-men,6
40000000-0000-4000-8000-000000000007,SM-007,shop-men,7
40000000-0000-4000-8000-000000000008,SM-008,shop-men,8
40000000-0000-4000-8000-000000000009,SM-009,shop-men,9
40000000-0000-4000-8000-000000000010,SM-010,shop-men,10
40000000-0000-4000-8000-000000000011,SM-011,shop-men,11
40000000-0000-4000-8000-000000000012,SM-012,shop-men,12
40000000-0000-4000-8000-000000000013,AW-001,atelier-women,1
40000000-0000-4000-8000-000000000014,AW-002,atelier-women,2
40000000-0000-4000-8000-000000000015,AW-003,atelier-women,3
40000000-0000-4000-8000-000000000016,AW-004,atelier-women,4
40000000-0000-4000-8000-000000000017,AW-005,atelier-women,5
40000000-0000-4000-8000-000000000018,AW-006,atelier-women,6
40000000-0000-4000-8000-000000000019,AW-007,atelier-women,7
40000000-0000-4000-8000-000000000020,AW-008,atelier-women,8
40000000-0000-4000-8000-000000000021,AW-009,atelier-women,9
40000000-0000-4000-8000-000000000022,AW-010,atelier-women,10
40000000-0000-4000-8000-000000000023,AW-011,atelier-women,11
40000000-0000-4000-8000-000000000024,AW-012,atelier-women,12
40000000-0000-4000-8000-000000000025,FW-001,footwear,1
40000000-0000-4000-8000-000000000026,FW-002,footwear,2
40000000-0000-4000-8000-000000000027,FW-003,footwear,3
40000000-0000-4000-8000-000000000028,FW-004,footwear,4
40000000-0000-4000-8000-000000000029,FW-005,footwear,5
40000000-0000-4000-8000-000000000030,FW-006,footwear,6
40000000-0000-4000-8000-000000000031,FW-007,footwear,7
40000000-0000-4000-8000-000000000032,FW-008,footwear,8
40000000-0000-4000-8000-000000000033,FW-009,footwear,9
40000000-0000-4000-8000-000000000034,FW-010,footwear,10
40000000-0000-4000-8000-000000000035,FW-011,footwear,11
40000000-0000-4000-8000-000000000036,FW-012,footwear,12
40000000-0000-4000-8000-000000000037,AC-001,accessories,1
40000000-0000-4000-8000-000000000038,AC-002,accessories,2
40000000-0000-4000-8000-000000000039,AC-003,accessories,3
40000000-0000-4000-8000-000000000040,AC-004,accessories,4
40000000-0000-4000-8000-000000000041,AC-005,accessories,5
40000000-0000-4000-8000-000000000042,AC-006,accessories,6
40000000-0000-4000-8000-000000000043,AC-007,accessories,7
40000000-0000-4000-8000-000000000044,AC-008,accessories,8
40000000-0000-4000-8000-000000000045,AC-009,accessories,9
40000000-0000-4000-8000-000000000046,AC-010,accessories,10
40000000-0000-4000-8000-000000000047,AC-011,accessories,11
40000000-0000-4000-8000-000000000048,AC-012,accessories,12
