record_type,brand_name,footer_caption,footer_note,position,slug,label,href,is_default,segment_slug,collection_kicker,title,description,primary_cta_label,primary_cta_href,secondary_cta_label,secondary_cta_href,background_image,quote_kicker,quote_body,accent,arrivals_kicker,arrivals_title,eyebrow,subtitle,image_url,cta_label,cta_href,body,value,product_id,brand,name,price,size_tag,fit_note,nav_label,route_aliases,hero_eyebrow,hero_title,hero_description,hero_image_url,hero_image_alt,quote_author,story_eyebrow,story_title,story_body,story_image_url,story_image_alt,story_cta_label,story_cta_href,results_label,sort_label,page_slug,filter_key,options,default_value,badge,material,image_alt,filter_tags
site_meta,ND Shop,Crafted for the Discerning,"Workbook-driven homepage synced to the Stitch editorial direction, with each image URL editable in Excel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,1,all-archive,All Archive,/,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,2,nam,Nam,/categories/Shop%20Men,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,3,nu,Nữ,/categories/Shop%20Women,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,4,accessories,Accessories,/categories/Accessories,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,all-archive,Winter 2024 Collection,Forest & Hearth,A tactile study of survival and comfort. Rooted in deep forest textures and the warmth of a mountain refuge.,Explore Collection,/products,View Lookbook,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuCPKv1CtBwPM413euox0uKnxmUXjsuyZFpFIvDMoW9tfefpHVd_8BFtHSEnUjm5XAQu4WMkS8vgS56v7kIQYWar2OBBpzOurqNCin2KoM1hYEZHvbpagIiz8m2nCidCAiRbDaeJLBNHxra37cwt7QEG3UlOcKbs-W6WuTDZj3qjg9hWIs2YR26l-ijHVnj8ck1-5NDhyVXXQECwDKQJs1i-nYT93ubM2EFutXuxPWxUHWH2o2Zhbz_naP2SXRRL50t8HcB8sUf5LXiX,The Technical Edge,Microservice-driven inventory ensures real-time availability of limited atelier pieces.,#cbb8a2,New Arrivals,Seasonal Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,nam,Editorial Category,Men's Atelier,An architectural study in silhouette and structure. Crafted for the modern artisan.,Open Men's Atelier,/categories/Shop%20Men,View Archive,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuACWMir-mH0L8UXbUXQWypp-pFR6ldBwMeB_P57xJ4h6lF91JgCYYyEJ27pPIbRuST3wzOd8tibscQ-NbIurAXAyGOUWfZstI5mdT9d5_jh6VLXet-x-y-OPWmMV69qNvZALg2WhY1PVY_SFZnR1pxtNpFxR9lsyyLR7XmqRbJ_dhy0WQE2rK_YiUzI2TXstgAkQ537sWLyCCgyHe5Z2QW16TODc2jAY392leqTD0jFdmPyw689W_PhHTFoOURRakfD2ODeVuxVtb-u,Atelier Note,"Structure, restraint, and material depth staged with the same rhythm as the Stitch editorial system.",#a98567,Men's Edit,Structured Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,nu,Editorial Category,Women's Atelier,"A curated selection of architectural silhouettes and natural textiles, designed for the modern form.",Open Women's Atelier,/categories/Shop%20Women,View Archive,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuCCHjHHNBD0bZoSfUrXMIUsusvSJpfmxcJRzVyGEWriuKDCynB8NOcLil0MHJfUCfgjmGv_IMPAfbmEm73hz3s6Y6ycMQrKq1qnMzNHz4QbDczvsSfdf8SaL9vw3qoSEt36Xm52OFG4ej1BLs2XxqsJW_tPT1C2xruIyndF6i4KCKATXFKExblf5UqEURDlAYRnWNDYbLXe8GGoCndX4q2IeRKAuk6Etam3vFkW85HI4vZvrHKCLYN63hA-DGdTKTpY9k-VBO3aY4le,Atelier Note,"Quiet luxury, sculptural drape, and soft precision brought into a more spacious editorial layout.",#c19b92,Women's Edit,Quiet Luxury Pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,accessories,Editorial Category,Accessories Atelier,"A curated collection of tactile essentials, defined by material integrity and architectural form. Crafted for the discerning individual.",Open Accessories Atelier,/categories/Accessories,View Archive,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuBlb713Ad1ZqSwci4xtZudIi3pLSP2LntjrYOZbjlMC3NLKbFllzQBjpelA2EcNqh24qXtAEpJDAyVB3yIDQIFXvkmKD86_5kVoAVPrMjID1bCAWG7fccKmwcS9kJ41ohvAPtYZJCMl2fOWYpy8JLZLlE7ksjMmFK7UnFdxUeGvbhsRltWVAsAFxPv7hkz1uizaDdvr0s5HWGulhxwsX6bDRakqRxoA2bYrvMeQA0Nta95LkdO9PMTmAYDvvqhCUeQTFYjDd4sXr9q0,The Master Artisan,True luxury is found in the hidden details of the stitch.,#b18f75,Accessories Edit,Tactile Objects in Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,1,,,,,all-archive,,Men's Atelier,,,,,,,,,,,,Editorial Category,"Architectural tailoring, knit structure, and grounded outerwear for the modern artisan.",https://lh3.googleusercontent.com/aida-public/AB6AXuCyUfebOMONTnvYr9ZpAON5r2sqH9cixvFEI4IUO1HgtLokw0DocOKis15vSsJ14j6mnx1QrXMXJyDrzK64DrNUI1kc34lTyj4aIPfoodV3MFa0JLPFNdllb_6HgGOigtKyydUohURWyjMOQURKHAk5z02a5vuIH_t821X1vUIusV9VajR3V14-QiTAt7WCragHu_ErX2cBuxj6cZyi0qHNw-tRhFozQO02eRzXwXB3GyXDgg6tVkt9BgTiuPHfPlE9ZdYH2sNodvYW,Open Men's Atelier,/categories/Shop%20Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
