id,external_id,name,category_slug,category,price,stock,material,merchandising_rank,updated_at
10000000-0000-4000-8000-000000000001,SM-001,Sculpted Linen Shirt,shop-men,Shop Men,420,15,Italian Linen Blend,1,2026-04-08 02:01:00
10000000-0000-4000-8000-000000000002,SM-002,Structured Atelier Jacket,shop-men,Shop Men,1250,9,100% Merino Wool,2,2026-04-08 02:02:00
10000000-0000-4000-8000-000000000003,SM-003,Modern Drape Trousers,shop-men,Shop Men,380,16,Fine Serge Cotton,3,2026-04-08 02:03:00
10000000-0000-4000-8000-000000000004,SM-004,Atelier Knit Polo,shop-men,Shop Men,290,18,Sea Island Cotton,4,2026-04-08 02:04:00
10000000-0000-4000-8000-000000000005,SM-005,The Obsidian Overcoat,shop-men,Shop Men,1890,6,Cashmere Blend,5,2026-04-08 02:05:00
10000000-0000-4000-8000-000000000006,SM-006,Relaxed Cargo Trouser,shop-men,Shop Men,340,14,Brushed Twill,6,2026-04-08 02:06:00
10000000-0000-4000-8000-000000000007,SM-007,Stonewashed Utility Overshirt,shop-men,Shop Men,360,12,Washed Cotton Drill,7,2026-04-08 02:07:00
10000000-0000-4000-8000-000000000008,SM-008,Meridian Wool Cardigan,shop-men,Shop Men,410,11,Merino Wool,8,2026-04-08 02:08:00
10000000-0000-4000-8000-000000000009,SM-009,Foundry Pleat Short,shop-men,Shop Men,250,17,Tumbled Cotton Poplin,9,2026-04-08 02:09:00
10000000-0000-4000-8000-000000000010,SM-010,Tailored Poplin Bandshirt,shop-men,Shop Men,280,20,Compact Cotton Poplin,10,2026-04-08 02:10:00
10000000-0000-4000-8000-000000000011,SM-011,Alpine Field Parka,shop-men,Shop Men,980,8,Technical Cotton Shell,11,2026-04-08 02:11:00
10000000-0000-4000-8000-000000000012,SM-012,Slate Double Pleat Trouser,shop-men,Shop Men,390,13,Worsted Wool Blend,12,2026-04-08 02:12:00
10000000-0000-4000-8000-000000000013,AW-001,Ethereal Silk Slip,atelier-women,Atelier Women,340,10,Mulberry Silk,1,2026-04-08 02:11:00
10000000-0000-4000-8000-000000000014,AW-002,Architectural Overcoat,atelier-women,Atelier Women,1250,7,Structured Wool Twill,2,2026-04-08 02:12:00
10000000-0000-4000-8000-000000000015,AW-003,Cloud Cashmere Crew,atelier-women,Atelier Women,280,14,Pure Cashmere,3,2026-04-08 02:13:00
10000000-0000-4000-8000-000000000016,AW-004,Sculptural Pleated Skirt,atelier-women,Atelier Women,490,12,Pleated Wool Crepe,4,2026-04-08 02:14:00
10000000-0000-4000-8000-000000000017,AW-005,Hearth Tapered Pant,atelier-women,Atelier Women,320,16,Brushed Wool Blend,5,2026-04-08 02:15:00
10000000-0000-4000-8000-000000000018,AW-006,Atelier Formal Blazer,atelier-women,Atelier Women,850,9,Tailored Wool Blend,6,2026-04-08 02:16:00
10000000-0000-4000-8000-000000000019,AW-007,Botanical Wrap Dress,atelier-women,Atelier Women,410,11,Washed Silk Blend,7,2026-04-08 02:17:00
